"yesno" "V1" "V2"
"Mean and Std. Deviation of" 1 "tBodyAcc-mean()-X"
"Mean and Std. Deviation of" 2 "tBodyAcc-mean()-Y"
"Mean and Std. Deviation of" 3 "tBodyAcc-mean()-Z"
"Mean and Std. Deviation of" 4 "tBodyAcc-std()-X"
"Mean and Std. Deviation of" 5 "tBodyAcc-std()-Y"
"Mean and Std. Deviation of" 6 "tBodyAcc-std()-Z"
"Mean and Std. Deviation of" 7 "tBodyAcc-mad()-X"
"Mean and Std. Deviation of" 8 "tBodyAcc-mad()-Y"
"Mean and Std. Deviation of" 9 "tBodyAcc-mad()-Z"
"Mean and Std. Deviation of" 10 "tBodyAcc-max()-X"
"Mean and Std. Deviation of" 11 "tBodyAcc-max()-Y"
"Mean and Std. Deviation of" 12 "tBodyAcc-max()-Z"
"Mean and Std. Deviation of" 13 "tBodyAcc-min()-X"
"Mean and Std. Deviation of" 14 "tBodyAcc-min()-Y"
"Mean and Std. Deviation of" 15 "tBodyAcc-min()-Z"
"Mean and Std. Deviation of" 16 "tBodyAcc-sma()"
"Mean and Std. Deviation of" 17 "tBodyAcc-energy()-X"
"Mean and Std. Deviation of" 18 "tBodyAcc-energy()-Y"
"Mean and Std. Deviation of" 19 "tBodyAcc-energy()-Z"
"Mean and Std. Deviation of" 20 "tBodyAcc-iqr()-X"
"Mean and Std. Deviation of" 21 "tBodyAcc-iqr()-Y"
"Mean and Std. Deviation of" 22 "tBodyAcc-iqr()-Z"
"Mean and Std. Deviation of" 23 "tBodyAcc-entropy()-X"
"Mean and Std. Deviation of" 24 "tBodyAcc-entropy()-Y"
"Mean and Std. Deviation of" 25 "tBodyAcc-entropy()-Z"
"Mean and Std. Deviation of" 26 "tBodyAcc-arCoeff()-X,1"
"Mean and Std. Deviation of" 27 "tBodyAcc-arCoeff()-X,2"
"Mean and Std. Deviation of" 28 "tBodyAcc-arCoeff()-X,3"
"Mean and Std. Deviation of" 29 "tBodyAcc-arCoeff()-X,4"
"Mean and Std. Deviation of" 30 "tBodyAcc-arCoeff()-Y,1"
